id	song_id	title	performer	filename	copyright
47	1	mēkusapvt-min-vpokēs,-version-1	Juanita McGirt	mēkusapvt-min-vpokēs,-version-1.mp3	Muskogee (Seminole/Creek) Documentation Project
48	1	mēkusapvt-min-vpokēs-version-2	Juanita McGirt	mēkusapvt-min-vpokēs-version-2.mp3	Muskogee (Seminole/Creek) Documentation Project
49	1	mēkusvpkvn-vlicēceyvrēs	Juanita McGirt	mēkusvpkvn-vlicēceyvrēs.mp3	Muskogee (Seminole/Creek) Documentation Project
50	1	mi-hvlwe-tvlofv-min	Juanita McGirt	mi-hvlwe-tvlofv-min.mp3	Muskogee (Seminole/Creek) Documentation Project
51	1	min-vyēpis	Juanita McGirt	min-vyēpis.mp3	Muskogee (Seminole/Creek) Documentation Project
52	1	momis-komet-vpēyvkvrēs-v2	Juanita McGirt	momis-komet-vpēyvkvrēs-v2.mp3	Muskogee (Seminole/Creek) Documentation Project
53	1	momis-komet-vpēyvkvrēs	Juanita McGirt	momis-komet-vpēyvkvrēs.mp3	Muskogee (Seminole/Creek) Documentation Project
54	1	mus16041-02sub-audio	Juanita McGirt	mus16041-02sub-audio.mp3	Muskogee (Seminole/Creek) Documentation Project
55	1	nettv-hērat	Juanita McGirt	nettv-hērat.mp3	Muskogee (Seminole/Creek) Documentation Project
56	1	o-vkvsvmvkvrēs	Juanita McGirt	o-vkvsvmvkvrēs.mp3	Muskogee (Seminole/Creek) Documentation Project
57	1	o-vpēyvkvrēs-cēsvs-likan	Juanita McGirt	o-vpēyvkvrēs-cēsvs-likan.mp3	Muskogee (Seminole/Creek) Documentation Project
58	1	oketv-nettv-espoke	Juanita McGirt	oketv-nettv-espoke.mp3	Muskogee (Seminole/Creek) Documentation Project
59	1	pēyvtēs-pēyvtēs	Juanita McGirt	pēyvtēs-pēyvtēs.mp3	Muskogee (Seminole/Creek) Documentation Project
60	1	pēyvtēs-vpēyvtēs	Juanita McGirt	pēyvtēs-vpēyvtēs.mp3	Muskogee (Seminole/Creek) Documentation Project
61	1	poyvfekcv-herat	Juanita McGirt	poyvfekcv-herat.mp3	Muskogee (Seminole/Creek) Documentation Project
62	1	pu-hesayēcvn-v2	Juanita McGirt	pu-hesayēcvn-v2.mp3	Muskogee (Seminole/Creek) Documentation Project
63	1	pu-hesayēcvn	Juanita McGirt	pu-hesayēcvn.mp3	Muskogee (Seminole/Creek) Documentation Project
64	1	pum-afacketvn	Juanita McGirt	pum-afacketvn.mp3	Muskogee (Seminole/Creek) Documentation Project
65	1	rvne-kalfvle-hocefkēn	Juanita McGirt	rvne-kalfvle-hocefkēn.mp3	Muskogee (Seminole/Creek) Documentation Project
66	1	rvne_kalfvle_hocefkēn	Juanita McGirt	rvne_kalfvle_hocefkēn.mp3	Muskogee (Seminole/Creek) Documentation Project
67	1	tecakkeyvtē-emēkusapvlke	Juanita McGirt	tecakkeyvtē-emēkusapvlke.mp3	Muskogee (Seminole/Creek) Documentation Project
68	1	tohweklepkv-vnakvn	Juanita McGirt	tohweklepkv-vnakvn.mp3	Muskogee (Seminole/Creek) Documentation Project
69	1	vcoh-vtēs	Juanita McGirt	vcoh-vtēs.mp3	Muskogee (Seminole/Creek) Documentation Project
70	1	vnherketvn-cenwikvkis	Juanita McGirt	vnherketvn-cenwikvkis.mp3	Muskogee (Seminole/Creek) Documentation Project
71	1	vnokeckv-omēcicēn	Juanita McGirt	vnokeckv-omēcicēn.mp3	Muskogee (Seminole/Creek) Documentation Project
72	1	vnokeckvt-omēcicen	Juanita McGirt	vnokeckvt-omēcicen.mp3	Muskogee (Seminole/Creek) Documentation Project
73	1	vnrvphoyē-fullvnna	Juanita McGirt	vnrvphoyē-fullvnna.mp3	Muskogee (Seminole/Creek) Documentation Project
74	1	vpēyvkvrēs	Juanita McGirt	vpēyvkvrēs.mp3	Muskogee (Seminole/Creek) Documentation Project
75	1	vwepvks-vpēyvkvrēs	Juanita McGirt	vwepvks-vpēyvkvrēs.mp3	Muskogee (Seminole/Creek) Documentation Project
76	1	vwepvks_vpeyvkvrēs	Juanita McGirt	vwepvks_vpeyvkvrēs.mp3	Muskogee (Seminole/Creek) Documentation Project
77	1	vyetvn-vyetvn-o-vyetvn	Juanita McGirt	vyetvn-vyetvn-o-vyetvn.mp3	Muskogee (Seminole/Creek) Documentation Project
78	1	yvpe-fik-vhecicvlke	Juanita McGirt	yvpe-fik-vhecicvlke.mp3	Muskogee (Seminole/Creek) Documentation Project
